country_id,name,Attraction,besttime,image_loc,destination_id,Timings,Description,Entry Fee,Address,booking url
3,US,Golden Gate Bridge,April - November,us/golden.jpg,12,Open 24 hours,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the strait connecting San Francisco Bay and the Pacific Ocean. It is an internationally recognized symbol of San Francisco, California, and the United States.",Free,"San Francisco, CA, USA",N/A
3,US,Hollywood Walk of Fame,April - November,us/hollywood.jpg,13,Open 24 hours,"The Hollywood Walk of Fame is a historic landmark consisting of more than 2,600 five-pointed terrazzo and brass stars embedded in the sidewalks along 15 blocks of Hollywood Boulevard in Hollywood, California.",Free,"Hollywood Boulevard, Los Angeles, CA 90028, USA",N/A
3,US,Yellowstone National Park,June - August,us/yellowstone.jpg,14,Open 24 hours,"Yellowstone National Park is an American national park located in Wyoming, Montana, and Idaho. It was established by the U.S. Congress and signed into law by President Ulysses S. Grant on March 1, 1872.","$35 per vehicle, $20 per person","Yellowstone National Park, WY, USA",https://www.nps.gov/yell/index.htm
3,US,Grand Canyon,October - April,us/grand.jpg,15,Open 24 hours,"The Grand Canyon is a steep-sided canyon carved by the Colorado River in Arizona, United States. It is one of the world's most famous natural landmarks and offers breathtaking views.","$35 per vehicle, $20 per person","Grand Canyon, AZ, USA",https://www.nps.gov/grca/index.htm
4,China,Great Wall of China,April - November,china/great.jpg,16,7:30 AM - 5:30 PM,"The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, wood, and other materials, generally built along an east-to-west line across the historical northern borders of China.","¥40 for adults, ¥20 for children","Huairou, China",https://www.travelchinaguide.com/china_great_wall/
4,China,The Bund,April - November,china/the.jpg,17,Open 24 hours,"The Bund is a waterfront area in central Shanghai. The area centers on a section of Zhongshan Road within the former Shanghai International Settlement, which runs along the western bank of the Huangpu River.",Free,"Zhongshan East 1st Rd, Shanghai, China",N/A
4,China,Terracotta Army,April - November,china/terracotta.jpg,18,8:30 AM - 5:30 PM,"The Terracotta Army is a collection of terracotta sculptures depicting the armies of Qin Shi Huang, the first Emperor of China. It is a form of funerary art buried with the emperor in 210–209 BCE.","¥120 for adults, ¥60 for children","Lintong, Xi'an, Shaanxi, China",https://www.travelchinaguide.com/attraction/shaanxi/xian/terra_cotta_army/
4,China,Zhangjiajie National Forest Park,May - October,china/zhangjiajie.jpg,19,7:00 AM - 6:00 PM,"Zhangjiajie National Forest Park is a unique national forest park located in Zhangjiajie City in Hunan Province, China. It is known for its towering sandstone pillars and scenic beauty.","¥248 for adults, ¥160 for children","Wulingyuan Scenic Area, Zhangjiajie, Hunan, China",https://www.zjjpark.com/
4,China,Jiuzhaigou Valley,September - November,china/jiuzhaigou.jpg,20,7:00 AM - 6:00 PM,"Jiuzhaigou Valley is a nature reserve and national park located in the northern part of Sichuan Province, China. It is known for its multi-level waterfalls, colorful lakes, and snow-capped peaks. The valley's name means ""Nine Village Valley,"" and it is home to nine Tibetan villages. It is a UNESCO World Heritage Site and a popular tourist destination.","¥220 for adults, ¥110 for children","Jiuzhaigou Valley, Aba Tibetan Qiang Autonomous Prefecture, Sichuan, China",https://www.jiuzhai.com/
5,Italy,Colosseum,April - June,italy/colosseum.jpg,21,8:30 AM - 7:00 PM,"The Colosseum is an ancient amphitheater in the center of Rome, Italy. It is the largest ancient amphitheater ever built, and it is still the largest standing amphitheater in the world. The Colosseum could hold, it is estimated, between 50,000 and 80,000 spectators, who watched gladiatorial contests and other public spectacles.","€16 for adults, €2 for EU citizens (18-25), free for children under 18","Piazza del Colosseo, 1, 00184 Roma RM, Italy",https://www.coopculture.it/en/colosseo-e-shop.cfm
5,Italy,St. Mark's Basilica,April - June,italy/st.jpg,22,9:30 AM - 5:15 PM,"St. Mark's Basilica is the cathedral church of the Roman Catholic Archdiocese of Venice, northern Italy. It is one of the best-known examples of Italo-Byzantine architecture. The basilica is known for its opulent design, gold ground mosaics, and its status as a symbol of Venetian wealth and power.","Free entry, €5 for access to the museum","Piazza San Marco, 328, 30100 Venezia VE, Italy",https://www.venetoinside.com/en/saint-marks-basilica/
5,Italy,Uffizi Gallery,April - June,italy/uffizi.jpg,23,8:15 AM - 6:50 PM,"The Uffizi Gallery is a prominent art museum located adjacent to the Piazza della Signoria in the Historic Centre of Florence in the region of Tuscany, Italy. One of the most important Italian museums, it holds a collection of priceless works, particularly from the period of the Italian Renaissance.","€20 for adults, €2 for EU citizens (18-25), free for children under 18","Piazzale degli Uffizi, 6, 50122 Firenze FI, Italy",https://www.uffizi.it/en/tickets
5,Italy,Amalfi Coast,July - September,italy/amalfi.jpg,24,Open 24 hours,"The Amalfi Coast is a stretch of coastline along the southern edge of Italy's Sorrentine Peninsula, in the Campania region. It's a popular holiday destination, known for its rugged terrain, scenic beauty, and picturesque towns. The coastline is dotted with small beaches and pastel-colored fishing villages.",Free,"Amalfi Coast, Italy",N/A
5,Italy,Pompeii,July - September,italy/pompeii.jpg,25,9:00 AM - 7:00 PM,Pompeii is an ancient city located near Naples in the Campania region of Italy. It was buried under volcanic ash and pumice in the eruption of Mount Vesuvius in 79 AD. The city has been preserved for centuries and offers a unique glimpse into Roman life.,"€16 for adults, €2 for EU citizens (18-25), free for children under 18","Via Villa dei Misteri, 2, 80045 Pompei NA, Italy",https://www.pompeiisites.org/
6,Turkey,Hagia Sophia,April - May,turkey/hagia.jpg,26,9:00 AM - 7:00 PM,"Hagia Sophia is a historic mosque and former Greek Orthodox Christian patriarchal cathedral, later an Ottoman imperial mosque and now a museum in Istanbul, Turkey. It is famous for its large dome, regarded as the epitome of Byzantine architecture and is said to have ""changed the history of architecture.""",Free,"Sultan Ahmet, Ayasofya Meydani, 34122 Fatih/Istanbul, Turkey",https://ayasofyamuzesi.gov.tr/en
6,Turkey,Göreme Open-Air Museum,April - May,turkey/goreme.jpg,27,8:00 AM - 7:00 PM,"The Göreme Open-Air Museum is a site that contains the finest of the rock-cut churches, with beautiful frescoes (wall paintings) that date back to the 10th, 11th, and 12th centuries. The museum is located in Cappadocia, a region famous for its unique landscape of fairy chimneys and cave dwellings.","100 TL for adults, 50 TL for children","50180 Göreme/Nevsehir Merkez/Nevsehir, Turkey",https://www.goreme.com/goreme-open-air-museum.php
6,Turkey,Antalya Museum,April - May,turkey/antalya.jpg,28,8:30 AM - 7:30 PM,"The Antalya Museum is one of Turkey's largest museums, located in Antalya. It contains 13 exhibition halls and an open-air gallery with works of art and artifacts from the region's history. It is particularly renowned for its collection of statues from the Roman period.","50 TL for adults, free for children under 18","Konyaalti Cd. No:88, 07065 Muratpasa/Antalya, Turkey",https://www.antalyamuzesi.gov.tr/
6,Turkey,Pamukkale,June - August,turkey/pamukkale.jpg,29,Open 24 hours,"Pamukkale, meaning ""cotton castle"" in Turkish, is a natural site in Denizli in southwestern Turkey. The area is famous for a carbonate mineral left by the flowing water, creating terraces and warm, turquoise pools. It is a UNESCO World Heritage Site.","80 TL for adults, 40 TL for children","Merkez, 20190 Pamukkale/Denizli, Turkey",https://www.pamukkale.gov.tr/
6,Turkey,Mount Nemrut,June - August,turkey/mount.jpg,30,Open 24 hours,"Mount Nemrut is a high mountain in southeastern Turkey, famous for the summit where large statues are erected around what is assumed to be a royal tomb from the 1st century BC. It is a UNESCO World Heritage Site and a popular destination for tourists.","20 TL for adults, 10 TL for children","Adiyaman Province, Turkey",https://www.muze.gov.tr/muzeler/mount-nemrut-tumulus
7,Mexico,Chichén Itzá,November - February,mexico/chichén.jpg,31,8:00 AM - 5:00 PM,"Chichén Itzá is a large pre-Columbian archaeological site built by the Maya civilization located in the Yucatán Peninsula, Mexico. It is one of the most visited archaeological sites in Mexico and a UNESCO World Heritage Site. The pyramid of El Castillo is a recognizable symbol of Chichén Itzá.","$481 MXN for adults, $80 MXN for children","Yucatán, Mexico",https://www.chichenitza.com/
7,Mexico,Palacio de Bellas Artes,November - February,mexico/palacio.jpg,32,11:00 AM - 5:00 PM,"The Palacio de Bellas Artes is a prominent cultural center in Mexico City. The building is renowned for its architectural style, murals by famous Mexican artists, and performances including ballet, opera, and symphonic music.",Free,"Av. Juárez, Centro Histórico, 06050 Ciudad de México, CDMX, Mexico",https://palacio.bellasartes.gob.mx/
7,Mexico,Hospicio Cabañas,November - February,mexico/hospicio.jpg,33,10:00 AM - 6:00 PM,"The Hospicio Cabañas, located in Guadalajara, Jalisco, Mexico, is one of the oldest and largest hospital complexes in the Americas. The building is a UNESCO World Heritage Site and is famous for its architecture and murals by José Clemente Orozco.","$70 MXN for adults, free for children under 12","Cabañas 8, Las Fresas, 44360 Guadalajara, Jalisco, Mexico",https://hospiciocabanas.jalisco.gob.mx/
7,Mexico,Tulum,March - May,mexico/tulum.jpg,34,8:00 AM - 5:00 PM,Tulum is a town on the Caribbean coastline of Mexico’s Yucatán Peninsula. It’s known for its well-preserved ruins of an ancient Mayan port city. The Tulum ruins are situated on 12-meter-tall cliffs along the east coast of the Yucatán Peninsula on the Caribbean Sea.,"$80 MXN for adults, free for children under 12","Tulum, Quintana Roo, Mexico",https://www.rivieramaya.com/
7,Mexico,Copper Canyon,March - May,mexico/copper.jpg,35,Open 24 hours,"The Copper Canyon is a group of six canyons in the state of Chihuahua, Mexico. The canyons were formed by six rivers that drain the western side of the Sierra Tarahumara. The Copper Canyon is larger and deeper than the Grand Canyon in the US.",Free,"Chihuahua, Mexico",N/A
8,UK,Tower of London,March - June,uk/tower.jpg,36,9:00 AM - 5:00 PM,"The Tower of London is a historic castle on the north bank of the River Thames in central London. It is famous for housing the Crown Jewels, its historical significance as a royal palace, and its function as a prison.","£29.90 for adults, £14.90 for children (5-15)","London EC3N 4AB, United Kingdom",https://www.hrp.org.uk/tower-of-london/
8,UK,Edinburgh Castle,March - June,uk/edinburgh.jpg,37,9:30 AM - 5:00 PM,"Edinburgh Castle is a historic fortress which dominates the skyline of Edinburgh, Scotland. It has been a royal residence, a military stronghold, and now is a major tourist attraction. The castle houses the Crown Jewels and the Stone of Destiny.","£19.50 for adults, £11.50 for children (5-15)","Castlehill, Edinburgh EH1 2NG, United Kingdom",https://www.edinburghcastle.scot/
8,UK,Roman Baths,March - June,uk/roman.jpg,38,9:00 AM - 5:00 PM,"The Roman Baths are a well-preserved thermae in the city of Bath, Somerset, England. They are a major tourist attraction and house ancient Roman artifacts and architecture. The baths were used for public bathing in Roman times.","£25 for adults, £17.50 for children (6-16)","Abbey Church Yard, Bath BA1 1LZ, United Kingdom",https://www.romanbaths.co.uk/
8,UK,Lake District,July - September,uk/lake.jpg,39,Open 24 hours,"The Lake District is a mountainous region in North West England. A popular holiday destination, it is known for its glacial ribbon lakes, rugged fell mountains, and historic literary associations. The area is a UNESCO World Heritage Site.",Free,"Cumbria, England",N/A
8,UK,Stonehenge,July - September,uk/stonehenge.jpg,40,9:30 AM - 5:00 PM,"Stonehenge is a prehistoric monument in Wiltshire, England. It consists of a ring of standing stones, each around 13 feet high, seven feet wide, and weighing around 25 tons. It is one of the most famous landmarks in the UK.","£19 for adults, £11.40 for children (5-17)","Amesbury, SP4 7DE, United Kingdom",https://www.english-heritage.org.uk/visit/places/stonehenge/
9,Germany,Brandenburg Gate,May - September,germany/brandenburg.jpg,41,Open 24 hours,"The Brandenburg Gate is an 18th-century neoclassical monument in Berlin, Germany. One of the best-known landmarks of Germany, it was built on the orders of Prussian king Frederick William II after the temporary restoration of order during the Batavian Revolution.",Free,"Pariser Platz, 10117 Berlin, Germany",N/A
9,Germany,Marienplatz,May - September,germany/marienplatz.jpg,42,Open 24 hours,"Marienplatz is a central square in the city centre of Munich, Germany. Since 1158, it has been the city's main square and serves as the heart of the city's festivities, cultural events, and historical moments.",Free,"Marienplatz, 80331 München, Germany",N/A
9,Germany,Heidelberg Castle,May - September,germany/heidelberg.jpg,43,8:00 AM - 6:00 PM,Heidelberg Castle is a ruin in Germany and landmark of Heidelberg. The castle has only been partially rebuilt since its demolition in the 17th and 18th centuries. It is a popular tourist destination and cultural site.,"€9 for adults, €4.50 for children","Schlosshof 1, 69117 Heidelberg, Germany",https://www.schloss-heidelberg.de/en
9,Germany,Black Forest,September - November,germany/black.jpg,44,Open 24 hours,"The Black Forest is a large forested mountain range in the state of Baden-Württemberg in southwest Germany. It is known for its dense woods, picturesque villages, and outdoor activities like hiking and skiing.",Free,"Baden-Württemberg, Germany",N/A
9,Germany,Neuschwanstein Castle,September - November,germany/neuschwanstein.jpg,45,9:00 AM - 6:00 PM,"Neuschwanstein Castle, a fairy tale-like castle located in Bavaria, Germany, was commissioned by Ludwig II of Bavaria. It is known for its picturesque architecture and scenic location, serving as an inspiration for Disney's Sleeping Beauty Castle.","€13 for adults, €12 for students, free for children under 18","Neuschwansteinstraße 20, 87645 Schwangau, Germany",https://www.neuschwanstein.de/englisch/tourist/
10,Greece,Acropolis,April - September,greece/acropolis.jpg,46,8:00 AM - 8:00 PM,"The Acropolis of Athens is an ancient citadel located on a rocky outcrop above the city of Athens. It contains the remains of several ancient buildings of great architectural and historic significance, the most famous being the Parthenon.","€20 for adults, €10 for reduced tickets","Athens 105 58, Greece",https://www.theacropolismuseum.gr/en
10,Greece,Oia,April - September,greece/oia.jpg,47,Open 24 hours,"Oia is a coastal town on the northwestern tip of Santorini, Greece. It is known for its stunning sunsets, white-washed buildings, and breathtaking views of the caldera. Oia is a popular destination for tourists and photographers.",Free,"Oia 847 02, Greece",N/A
10,Greece,Mykonos Town,April - September,greece/mykonos.jpg,48,Open 24 hours,"Mykonos Town, also known as Chora, is the capital and largest town of the Greek island of Mykonos. It is known for its vibrant nightlife, picturesque streets, and iconic windmills. Mykonos is a popular destination for both beach lovers and partygoers.",Free,"Mykonos Town, Mykonos, Greece",N/A
10,Greece,Delphi,March - May,greece/delphi.jpg,49,8:00 AM - 8:00 PM,"Delphi is an ancient archaeological site in Greece and a UNESCO World Heritage Site. It was once considered the center of the world in ancient Greek religion, home to the Oracle of Delphi and the Temple of Apollo.","€12 for adults, €6 for reduced tickets","Delphi 330 54, Greece",https://delphi.com/en
10,Greece,Meteora,March - May,greece/meteora.jpg,50,9:00 AM - 5:00 PM,"Meteora is a rock formation in central Greece hosting one of the largest and most precipitously built complexes of Eastern Orthodox monasteries. It is included on the UNESCO World Heritage List. The monasteries are perched atop high cliffs, providing stunning views.","€3 for adults, €2 for students","Meteora, Kalabaka 422 00, Greece",https://www.visitmeteora.travel/
