restaurant_id,name,country_id,location,cuisine_type,rating,contact_info,opening_time,closing_time,address,description,imgloc,website,country,price_range
13,Osteria Francescana,5,Modena,Italian,5,+39 0532 749 001,9:00 AM,10:00 PM,"Via Stella, 22, 41121 Modena MO, Italy","An iconic Italian restaurant in Modena, celebrated for its creative takes on classic Italian cuisine.",italy/Osteria.jpg,https://theuselessweb.com/,italy,10
14,La Pergola,5,Rome,Italian,4.5,+39 06 357 21 00,10:00 AM,11:00 PM,"Via Alberto Cadlolo, 101, 00136 Rome, Italy","A prestigious dining spot in Rome, offering luxurious Italian dishes with panoramic city views.",italy/LaPergola.jpg,https://theuselessweb.com/,italy,25
15,Reale,5,Castel Di Sangro,Italian,4,+39 0864 541 000,9:00 AM,12:00 AM,"Contrada Santa Liberata, 67031 Castel Di Sangro AQ, Italy","A refined Italian restaurant in Castel Di Sangro, known for its farm-to-table approach.",italy/Reale.jpg,https://theuselessweb.com/,italy,35
16,Seki,6,Cappadocia,Turkish,5,+90 384 271 00 00,9:00 AM,1:00 AM,"Tekelli Mahallesi, 50240 Uçhisar, Cappadocia, Turkey",A Turkish restaurant in Cappadocia offering stunning views and authentic Anatolian cuisine.,turkey/seki.png,https://theuselessweb.com/,turkey,10
17,Ferdi Baba,6,Alaçati,Seafood,4.5,+90 532 612 00 00,10:00 AM,11:00 PM,"Mektep Sokak, Alaçati, Izmir, Turkey","A seafood haven in Alaçati, known for its fresh catches and Mediterranean-inspired dishes.",turkey/ferdibaba.jpg,https://theuselessweb.com/,turkey,25
18,Mikla,6,Istanbul,Turkish-Scandinavian fusion,4,+90 212 365 00 00,11:00 AM,9:00 PM,"The Marmara Pera, Meşrutiyet Caddesi No:15, Istanbul, Turkey","A contemporary Turkish-Scandinavian fusion restaurant in Istanbul, blending cultures on the plate.",turkey/mikla.jpg,https://theuselessweb.com/,turkey,35
19,Le Chique,7,Cancun,Mexican,5,+52 998 884 8888,9:00 AM,10:00 PM,"Carretera Federal 307, Benito Juarez, Cancun, Mexico","A high-end Mexican restaurant in Cancun, offering a mix of traditional and modern flavors.",mexico/Le-Chique.webp,https://theuselessweb.com/,mexico,10
20,Jardin Nebulosa,7,San Sebastian del Oeste,Mexican,4.5,+52 329 123 4567,10:00 AM,11:00 PM,"Calle Francisco I. Madero, San Sebastián del Oeste, Mexico","A Mexican restaurant in San Sebastian del Oeste, specializing in regional dishes with fresh ingredients.",mexico/Jardin.jpg,https://theuselessweb.com/,mexico,25
21,La Tienda Grande,7,Puerto Vallarta,Mexican,4,+52 322 987 6543,9:00 AM,12:00 AM,"Av. México 1234, Puerto Vallarta, Jalisco, Mexico","A cozy eatery in Puerto Vallarta, serving authentic Mexican dishes with a modern twist.",mexicoLaTienda.jpg,https://theuselessweb.com/,mexico,35
22,The Ledbury,8,London,British,5,+44 20 7580 1234,9:00 AM,1:00 AM,"127 Ledbury Rd, London W11 2AQ, UK","A British fine-dining restaurant in London, known for its exceptional ingredients and innovative dishes.",uk/TheLedbury.jpg,https://theuselessweb.com/,uk,10
23,Core by Clare Smyth,8,London,British,4.5,+44 20 7495 6789,10:00 AM,11:00 PM,"92 Kensington Park Rd, London W11 2PN, UK","A stylish British restaurant in London, blending contemporary and classic culinary techniques.",uk/Coreclare.jpg,https://theuselessweb.com/,uk,25
24,L'Enclume,8,Cartmel,British,4,+44 1539 530 123,11:00 AM,9:00 PM,"Cavendish St, Cartmel, Grange-over-Sands LA11 6QA, UK",A British restaurant in Cartmel offering a farm-to-table dining experience in a rustic setting.,uk/L'Enclume.jpg,https://theuselessweb.com/,uk,35
25,Aqua im Ritz-Carlton,9,Wolfsburg,French,5,+49 5361 900,9:00 AM,10:00 PM,"Parkstraße 1, 38440 Wolfsburg, Germany","A French fine-dining restaurant in Wolfsburg, Germany, located in the Ritz-Carlton.",germany/Aquaritz.jpg,https://theuselessweb.com/,germany,10
26,Bareiss,9,Baiersbronn,French,4.5,+49 72270 90,10:00 AM,11:00 PM,"Hermine-Bareiss-Weg 1, 72270 Baiersbronn, Germany","A family-run French restaurant in Baiersbronn, celebrated for its warm ambiance and gourmet dishes.",germany/Bareiss.jpg,https://theuselessweb.com/,germany,25
27,Restaurant Jan,9,Munich,French,4,+49 80333 27,9:00 AM,12:00 AM,"Frauenstraße 30, 80469 Munich, Germany","A chic French restaurant in Munich, offering contemporary interpretations of classic recipes.",germany/Jan.webp,https://theuselessweb.com/,germany,35
28,To Kati Allo,10,Athens,Greek,5,+30 210 321 1234,9:00 AM,1:00 AM,"Plaka, Athens, Greece","A traditional Greek restaurant in Athens, known for its authentic dishes and family recipes.",greece/ToKatiAllo.jpg,https://theuselessweb.com/,greece,10
29,Hervé,10,Athens,Greek-French,4.5,+30 210 987 6543,10:00 AM,11:00 PM,"15 Ermou Street, Athens, Greece","A fusion restaurant in Athens, blending Greek and French culinary traditions with flair.",greece/Herv�.jpg,https://theuselessweb.com/,greece,25
30,CTC Urban Gastronomy,10,Athens,Greek-Contemporary,4,+30 210 555 6789,11:00 AM,9:00 PM,"50 Akti Miaouli, Athens, Greece","A contemporary Greek dining experience in Athens, featuring innovative takes on traditional dishes.",greece/CTCUrbanGastronomy.jpg,https://theuselessweb.com/,greece,35
